C (%),H (%),O (%),S (%),N (%),H/C,O/C,N/C,Ash (%),SC (%),T (°C),RT (min),Mass_RS (g/mol),Polarity _RS (10-3),Mass_SE (g/mol),Polarity _SE (10-3),Yield_oil (%),N_oil (%),ER_oil (%)
47.38,6.67,30.89,0,6.26,1.69,0.49,0.12,8.81,4.76,375,60,18,1000,84.93,309,47.2,5.71,68.55
47.38,6.67,30.89,0,6.26,1.69,0.49,0.12,8.81,4.76,400,60,18,1000,84.93,309,37.3,5.5,55.44
47.38,6.67,30.89,0,6.26,1.69,0.49,0.12,8.81,4.76,425,60,18,1000,84.93,309,31.9,5.89,45.2
47.38,6.67,30.89,0,6.26,1.69,0.49,0.12,8.81,4.76,450,60,18,1000,84.93,309,22.1,6.81,30.25
47.38,6.67,30.89,0,6.26,1.69,0.49,0.12,8.81,4.76,200,15,18,1000,84.93,309,12.9,2.1,16.19
47.38,6.67,30.89,0,6.26,1.69,0.49,0.12,8.81,4.76,200,30,18,1000,84.93,309,13.9,2,18.66
47.38,6.67,30.89,0,6.26,1.69,0.49,0.12,8.81,4.76,300,15,18,1000,84.93,309,41.9,6.01,59.04
47.38,6.67,30.89,0,6.26,1.69,0.49,0.12,8.81,4.76,300,30,18,1000,84.93,309,43.8,5.9,61.93
26.05,4.79,44.69,0,2.18,2.21,1.29,0.07,22.3,20,260,15,92.09,697.3,58.08,529.41,15,5.84,12.49
26.05,4.79,44.69,0,2.18,2.21,1.29,0.07,22.3,20,280,15,92.09,697.3,58.08,529.41,17.83,4.74,37.66
26.05,4.79,44.69,0,2.18,2.21,1.29,0.07,22.3,20,300,15,92.09,697.3,58.08,529.41,20.2,4.47,47.12
26.05,4.79,44.69,0,2.18,2.21,1.29,0.07,22.3,20,340,15,92.09,697.3,58.08,529.41,24.01,4.47,57.6
26.05,4.79,44.69,0,2.18,2.21,1.29,0.07,22.3,20,340,5,92.09,697.3,58.08,529.41,16.8,4.99,40.91
26.05,4.79,44.69,0,2.18,2.21,1.29,0.07,22.3,20,340,15,92.09,697.3,58.08,529.41,23.96,4.47,57.48
26.05,4.79,44.69,0,2.18,2.21,1.29,0.07,22.3,20,340,30,92.09,697.3,58.08,529.41,21.83,4.45,52.9
26.05,4.79,44.69,0,2.18,2.21,1.29,0.07,22.3,20,340,60,92.09,697.3,58.08,529.41,21.14,4.64,46.26
26.05,4.79,44.69,0,2.18,2.21,1.29,0.07,22.3,20,340,90,92.09,697.3,58.08,529.41,12.55,4.72,28.06
26.05,4.79,44.69,0,2.18,2.21,1.29,0.07,22.3,20,340,15,92.09,697.3,58.08,529.41,24.13,4.47,57.89
26.05,4.79,44.69,0,2.18,2.21,1.29,0.07,22.3,20,340,15,92.09,697.3,58.08,529.41,25.39,2.45,65.2
26.05,4.79,44.69,0,2.18,2.21,1.29,0.07,22.3,20,340,15,92.09,697.3,58.08,529.41,35.13,1.15,81.42
26.05,4.79,44.69,0,2.18,2.21,1.29,0.07,22.3,20,340,15,92.09,697.3,58.08,529.41,28.6,0.43,74.62
43.86,6.6,33,0,12.07,1.81,0.56,0.24,4.47,20,360,40,18,1000,84.93,309,39,8.68,55.1
43.58,6.29,45.71,0,2.1,1.73,0.79,0.04,2.32,20,360,40,18,1000,84.93,309,8,1.11,15.78
42.33,6.22,36.27,0,3.6,1.76,0.64,0.07,11.59,20,360,40,18,1000,84.93,309,12.78,6.07,18.65
33.61,5.15,25.86,0.62,5.84,1.84,0.58,0.15,28.92,9.09,250,60,18,1000,84.93,309,12.09,7.59,18.17
33.61,5.15,25.86,0.62,5.84,1.84,0.58,0.15,28.92,9.09,275,60,18,1000,84.93,309,13.33,7.55,19.89
33.61,5.15,25.86,0.62,5.84,1.84,0.58,0.15,28.92,9.09,300,60,18,1000,84.93,309,18.1,6.97,27.7
33.61,5.15,25.86,0.62,5.84,1.84,0.58,0.15,28.92,9.09,325,60,18,1000,84.93,309,20.23,6.59,30.82
33.61,5.15,25.86,0.62,5.84,1.84,0.58,0.15,28.92,9.09,350,60,18,1000,84.93,309,18.82,6.36,30.09
33.61,5.15,25.86,0.62,5.84,1.84,0.58,0.15,28.92,9.09,325,15,18,1000,84.93,309,15.81,6.99,23.84
33.61,5.15,25.86,0.62,5.84,1.84,0.58,0.15,28.92,9.09,325,30,18,1000,84.93,309,19.35,7.14,29.56
33.61,5.15,25.86,0.62,5.84,1.84,0.58,0.15,28.92,9.09,325,45,18,1000,84.93,309,20.97,6.96,32.13
33.61,5.15,25.86,0.62,5.84,1.84,0.58,0.15,28.92,9.09,325,60,18,1000,84.93,309,20.65,6.59,31.46
33.61,5.15,25.86,0.62,5.84,1.84,0.58,0.15,28.92,9.09,325,90,18,1000,84.93,309,20.32,6.02,30.23
